custom_id,group
318--Patient1_NormalAdjacentTissue-Normal-SRX8409041-se,Normal
318--Patient1_PrimaryTumour-Colon_Metastasis-SRX8409040-se,Colon_Metastasis
318--Patient2_NormalAdjacentTissue-Normal-SRX8409044-se,Normal
318--Patient2_PrimaryTumour-Colon_Metastasis-SRX8409043-se,Colon_Metastasis
318--Patient3_NormalAdjacentTissue-Normal-SRX8409047-se,Normal
318--Patient3_PrimaryTumour-Colon_Metastasis-SRX8409046-se,Colon_Metastasis
318--Patient4_NormalAdjacentTissue-Normal-SRX8409050-se,Normal
318--Patient4_PrimaryTumour-Colon_Metastasis-SRX8409049-se,Colon_Metastasis
318--Patient5_NormalAdjacentTissue-Normal-SRX8409053-se,Normal
318--Patient5_PrimaryTumour-Colon_Metastasis-SRX8409052-se,Colon_Metastasis
318--Patient1_LymphMetastasis-Lymph_Metastasis-SRX8409039-se,Lymph_Metastasis
318--Patient2_LymphMetastasis-Lymph_Metastasis-SRX8409042-se,Lymph_Metastasis
318--Patient3_LymphMetastasis-Lymph_Metastasis-SRX8409045-se,Lymph_Metastasis
318--Patient4_LymphMetastasis-Lymph_Metastasis-SRX8409048-se,Lymph_Metastasis
318--Patient5_LymphMetastasis-Lymph_Metastasis-SRX8409051-se,Lymph_Metastasis
