custom_id,group
438cf--HCC_43-HCC-SRX8181972-pe,HCC
438cf--PDAC_5-PDAC-SRX8181973-pe,PDAC
438cf--PDAC_21-PDAC-SRX8181974-pe,PDAC
438cf--EAC_5-EAC-SRX8181975-pe,EAC
438cf--HCC_2-HCC-SRX8181976-pe,HCC
438cf--Normal_40-Normal-SRX8181977-pe,Normal
438cf--GC_6-GC-SRX8181978-pe,GC
438cf--Normal_6-Normal-SRX8181979-pe,Normal
438cf--Normal_3-Normal-SRX8181980-pe,Normal
438cf--Normal_19-Normal-SRX8181981-pe,Normal
438cf--ESCC_28-ESCC-SRX8181982-pe,ESCC
438cf--HCC_39-HCC-SRX8181983-pe,HCC
438cf--PDAC_10-PDAC-SRX8181984-pe,PDAC
438cf--PDAC_2-PDAC-SRX8181985-pe,PDAC
438cf--HCC_15-HCC-SRX8181986-pe,HCC
438cf--Normal_29-Normal-SRX8181987-pe,Normal
438cf--Normal_43-Normal-SRX8181988-pe,Normal
438cf--Normal_10-Normal-SRX8181989-pe,Normal
438cf--Normal_23-Normal-SRX8181990-pe,Normal
438cf--Normal_39-Normal-SRX8181991-pe,Normal
438cf--Normal_8-Normal-SRX8181992-pe,Normal
438cf--PDAC_11-PDAC-SRX8181993-pe,PDAC
438cf--GC_11-GC-SRX8181994-pe,GC
438cf--ESCC_37-ESCC-SRX8181995-pe,ESCC
438cf--ESCC_3-ESCC-SRX8181996-pe,ESCC
438cf--Normal_1-Normal-SRX8181997-pe,Normal
438cf--PDAC_20-PDAC-SRX8181998-pe,PDAC
438cf--ESCC_8-ESCC-SRX8181999-pe,ESCC
438cf--EAC_9-EAC-SRX8182000-pe,EAC
438cf--Normal_36-Normal-SRX8182001-pe,Normal
438cf--Normal_33-Normal-SRX8182002-pe,Normal
438cf--HCC_13-HCC-SRX8182003-pe,HCC
438cf--EAC_4-EAC-SRX8182004-pe,EAC
438cf--PDAC_18-PDAC-SRX8182005-pe,PDAC
438cf--PDAC_74-PDAC-SRX8182006-pe,PDAC
438cf--ESCC_38-ESCC-SRX8182007-pe,ESCC
438cf--Normal_21-Normal-SRX8182008-pe,Normal
438cf--ESCC_43-ESCC-SRX8182009-pe,ESCC
438cf--GC_4-GC-SRX8182010-pe,GC
438cf--ESCC_1-ESCC-SRX8182011-pe,ESCC
438cf--EAC_3-EAC-SRX8182012-pe,EAC
438cf--ESCC_10-ESCC-SRX8182013-pe,ESCC
438cf--ESCC_34-ESCC-SRX8182014-pe,ESCC
438cf--Normal_25-Normal-SRX8182015-pe,Normal
438cf--PDAC_16-PDAC-SRX8182016-pe,PDAC
438cf--HCC_8-HCC-SRX8182017-pe,HCC
438cf--HCC_11-HCC-SRX8182018-pe,HCC
438cf--HCC_9-HCC-SRX8182019-pe,HCC
438cf--GC_15-GC-SRX8182020-pe,GC
438cf--PDAC_73-PDAC-SRX8182021-pe,PDAC
438cf--HCC_1-HCC-SRX8182022-pe,HCC
438cf--Normal_28-Normal-SRX8182023-pe,Normal
438cf--HCC_6-HCC-SRX8182024-pe,HCC
438cf--ESCC_32-ESCC-SRX8182025-pe,ESCC
438cf--HCC_36-HCC-SRX8182026-pe,HCC
438cf--ESCC_27-ESCC-SRX8182027-pe,ESCC
438cf--HCC_5-HCC-SRX8182028-pe,HCC
438cf--PDAC_24-PDAC-SRX8182029-pe,PDAC
438cf--ESCC_39-ESCC-SRX8182030-pe,ESCC
438cf--Normal_42-Normal-SRX8182031-pe,Normal
438cf--Normal_32-Normal-SRX8182032-pe,Normal
438cf--GC_37-GC-SRX8182033-pe,GC
438cf--HCC_7-HCC-SRX8182034-pe,HCC
438cf--GC_5-GC-SRX8182035-pe,GC
438cf--CRC_13-CRC-SRX8182228-pe,CRC
438cf--PDAC_61-PDAC-SRX8182229-pe,PDAC
438cf--ESCC_24-ESCC-SRX8182230-pe,ESCC
438cf--CRC_38-CRC-SRX8182231-pe,CRC
438cf--CRC_14-CRC-SRX8182232-pe,CRC
438cf--PDAC_38-PDAC-SRX8182233-pe,PDAC
438cf--PDAC_67-PDAC-SRX8182234-pe,PDAC
438cf--PDAC_41-PDAC-SRX8182235-pe,PDAC
438cf--CRC_22-CRC-SRX8182236-pe,CRC
438cf--CRC_16-CRC-SRX8182237-pe,CRC
438cf--CRC_31-CRC-SRX8182238-pe,CRC
438cf--CRC_23-CRC-SRX8182239-pe,CRC
438cf--CRC_20-CRC-SRX8182240-pe,CRC
438cf--PDAC_58-PDAC-SRX8182241-pe,PDAC
438cf--GC_21-GC-SRX8182242-pe,GC
438cf--CRC_19-CRC-SRX8182243-pe,CRC
438cf--CRC_40-CRC-SRX8182244-pe,CRC
438cf--PDAC_42-PDAC-SRX8182245-pe,PDAC
438cf--PDAC_43-PDAC-SRX8182246-pe,PDAC
438cf--CRC_4-CRC-SRX8182247-pe,CRC
438cf--CRC_37-CRC-SRX8182248-pe,CRC
438cf--PDAC_62-PDAC-SRX8182249-pe,PDAC
438cf--PDAC_57-PDAC-SRX8182250-pe,PDAC
438cf--PDAC_69-PDAC-SRX8182251-pe,PDAC
438cf--PDAC_35-PDAC-SRX8182252-pe,PDAC
438cf--PDAC_54-PDAC-SRX8182253-pe,PDAC
438cf--PDAC_32-PDAC-SRX8182254-pe,PDAC
438cf--ESCC_6-ESCC-SRX8182255-pe,ESCC
438cf--EAC_8-EAC-SRX8182256-pe,EAC
438cf--CRC_35-CRC-SRX8182257-pe,CRC
438cf--CRC_3-CRC-SRX8182258-pe,CRC
438cf--PDAC_50-PDAC-SRX8182259-pe,PDAC
438cf--PDAC_68-PDAC-SRX8182260-pe,PDAC
438cf--PDAC_36-PDAC-SRX8182261-pe,PDAC
438cf--PDAC_49-PDAC-SRX8182262-pe,PDAC
438cf--CRC_26-CRC-SRX8182263-pe,CRC
438cf--CRC_27-CRC-SRX8182264-pe,CRC
438cf--PDAC_60-PDAC-SRX8182265-pe,PDAC
438cf--PDAC_48-PDAC-SRX8182266-pe,PDAC
438cf--GC_22-GC-SRX8182267-pe,GC
438cf--ESCC_23-ESCC-SRX8182268-pe,ESCC
438cf--PDAC_27-PDAC-SRX8182269-pe,PDAC
438cf--GC_30-GC-SRX8182270-pe,GC
438cf--GC_32-GC-SRX8182271-pe,GC
438cf--PDAC_12-PDAC-SRX8182036-pe,PDAC
438cf--Normal_9-Normal-SRX8182037-pe,Normal
438cf--ESCC_42-ESCC-SRX8182038-pe,ESCC
438cf--PDAC_4-PDAC-SRX8182039-pe,PDAC
438cf--ESCC_36-ESCC-SRX8182040-pe,ESCC
438cf--ESCC_46-ESCC-SRX8182041-pe,ESCC
438cf--HCC_10-HCC-SRX8182042-pe,HCC
438cf--ESCC_31-ESCC-SRX8182043-pe,ESCC
438cf--Normal_24-Normal-SRX8182044-pe,Normal
438cf--Normal_20-Normal-SRX8182045-pe,Normal
438cf--GC_10-GC-SRX8182046-pe,GC
438cf--GC_16-GC-SRX8182047-pe,GC
438cf--GC_1-GC-SRX8182048-pe,GC
438cf--PDAC_14-PDAC-SRX8182049-pe,PDAC
438cf--Normal_27-Normal-SRX8182050-pe,Normal
438cf--PDAC_23-PDAC-SRX8182051-pe,PDAC
438cf--PDAC_71-PDAC-SRX8182052-pe,PDAC
438cf--PDAC_13-PDAC-SRX8182053-pe,PDAC
438cf--HCC_14-HCC-SRX8182054-pe,HCC
438cf--ESCC_40-ESCC-SRX8182055-pe,ESCC
438cf--HCC_34-HCC-SRX8182056-pe,HCC
438cf--ESCC_30-ESCC-SRX8182057-pe,ESCC
438cf--Normal_30-Normal-SRX8182058-pe,Normal
438cf--EAC_6-EAC-SRX8182059-pe,EAC
438cf--Normal_2-Normal-SRX8182060-pe,Normal
438cf--Normal_7-Normal-SRX8182061-pe,Normal
438cf--PDAC_15-PDAC-SRX8182062-pe,PDAC
438cf--HCC_42-HCC-SRX8182063-pe,HCC
438cf--HCC_40-HCC-SRX8182064-pe,HCC
438cf--ESCC_33-ESCC-SRX8182065-pe,ESCC
438cf--Normal_22-Normal-SRX8182066-pe,Normal
438cf--ESCC_2-ESCC-SRX8182067-pe,ESCC
438cf--Normal_34-Normal-SRX8182068-pe,Normal
438cf--EAC_1-EAC-SRX8182069-pe,EAC
438cf--ESCC_44-ESCC-SRX8182070-pe,ESCC
438cf--EAC_7-EAC-SRX8182071-pe,EAC
438cf--HCC_38-HCC-SRX8182072-pe,HCC
438cf--ESCC_5-ESCC-SRX8182073-pe,ESCC
438cf--ESCC_45-ESCC-SRX8182074-pe,ESCC
438cf--Normal_11-Normal-SRX8182075-pe,Normal
438cf--HCC_12-HCC-SRX8182076-pe,HCC
438cf--HCC_4-HCC-SRX8182077-pe,HCC
438cf--Normal_5-Normal-SRX8182078-pe,Normal
438cf--Normal_41-Normal-SRX8182079-pe,Normal
438cf--Normal_26-Normal-SRX8182080-pe,Normal
438cf--Normal_4-Normal-SRX8182081-pe,Normal
438cf--HCC_41-HCC-SRX8182082-pe,HCC
438cf--EAC_2-EAC-SRX8182083-pe,EAC
438cf--GC_3-GC-SRX8182084-pe,GC
438cf--Normal_37-Normal-SRX8182085-pe,Normal
