custom_id,group
438cf--CRC_1-CRC-SRX8182181-pe,CRC
438cf--CRC_10-CRC-SRX8182224-pe,CRC
438cf--CRC_11-CRC-SRX8182210-pe,CRC
438cf--CRC_12-CRC-SRX8182226-pe,CRC
438cf--CRC_13-CRC-SRX8182228-pe,CRC
438cf--CRC_14-CRC-SRX8182232-pe,CRC
438cf--CRC_15-CRC-SRX8182205-pe,CRC
438cf--CRC_16-CRC-SRX8182237-pe,CRC
438cf--CRC_17-CRC-SRX8182211-pe,CRC
438cf--CRC_18-CRC-SRX8182199-pe,CRC
438cf--CRC_19-CRC-SRX8182243-pe,CRC
438cf--CRC_2-CRC-SRX8182156-pe,CRC
438cf--CRC_20-CRC-SRX8182240-pe,CRC
438cf--CRC_21-CRC-SRX8182117-pe,CRC
438cf--CRC_22-CRC-SRX8182236-pe,CRC
438cf--CRC_23-CRC-SRX8182239-pe,CRC
438cf--CRC_24-CRC-SRX8182162-pe,CRC
438cf--CRC_25-CRC-SRX8182213-pe,CRC
438cf--CRC_26-CRC-SRX8182263-pe,CRC
438cf--CRC_27-CRC-SRX8182264-pe,CRC
438cf--CRC_28-CRC-SRX8182227-pe,CRC
438cf--CRC_29-CRC-SRX8182193-pe,CRC
438cf--CRC_3-CRC-SRX8182258-pe,CRC
438cf--CRC_30-CRC-SRX8182187-pe,CRC
438cf--CRC_31-CRC-SRX8182238-pe,CRC
438cf--CRC_32-CRC-SRX8182128-pe,CRC
438cf--CRC_33-CRC-SRX8182198-pe,CRC
438cf--CRC_34-CRC-SRX8182200-pe,CRC
438cf--CRC_35-CRC-SRX8182257-pe,CRC
438cf--CRC_36-CRC-SRX8182222-pe,CRC
438cf--CRC_37-CRC-SRX8182248-pe,CRC
438cf--CRC_38-CRC-SRX8182231-pe,CRC
438cf--CRC_39-CRC-SRX8182208-pe,CRC
438cf--CRC_4-CRC-SRX8182247-pe,CRC
438cf--CRC_40-CRC-SRX8182244-pe,CRC
438cf--CRC_5-CRC-SRX8182221-pe,CRC
438cf--CRC_6-CRC-SRX8182220-pe,CRC
438cf--CRC_7-CRC-SRX8182214-pe,CRC
438cf--CRC_8-CRC-SRX8182223-pe,CRC
438cf--CRC_9-CRC-SRX8182217-pe,CRC
438cf--Normal_1-Normal-SRX8181997-pe,Normal
438cf--Normal_10-Normal-SRX8181989-pe,Normal
438cf--Normal_11-Normal-SRX8182075-pe,Normal
438cf--Normal_12-Normal-SRX8182111-pe,Normal
438cf--Normal_13-Normal-SRX8182185-pe,Normal
438cf--Normal_14-Normal-SRX8182186-pe,Normal
438cf--Normal_15-Normal-SRX8182167-pe,Normal
438cf--Normal_16-Normal-SRX8182183-pe,Normal
438cf--Normal_17-Normal-SRX8182168-pe,Normal
438cf--Normal_18-Normal-SRX8182169-pe,Normal
438cf--Normal_19-Normal-SRX8181981-pe,Normal
438cf--Normal_2-Normal-SRX8182060-pe,Normal
438cf--Normal_20-Normal-SRX8182045-pe,Normal
438cf--Normal_21-Normal-SRX8182008-pe,Normal
438cf--Normal_22-Normal-SRX8182066-pe,Normal
438cf--Normal_23-Normal-SRX8181990-pe,Normal
438cf--Normal_24-Normal-SRX8182044-pe,Normal
438cf--Normal_25-Normal-SRX8182015-pe,Normal
438cf--Normal_26-Normal-SRX8182080-pe,Normal
438cf--Normal_27-Normal-SRX8182050-pe,Normal
438cf--Normal_28-Normal-SRX8182023-pe,Normal
438cf--Normal_29-Normal-SRX8181987-pe,Normal
438cf--Normal_3-Normal-SRX8181980-pe,Normal
438cf--Normal_30-Normal-SRX8182058-pe,Normal
438cf--Normal_31-Normal-SRX8182100-pe,Normal
438cf--Normal_32-Normal-SRX8182032-pe,Normal
438cf--Normal_33-Normal-SRX8182002-pe,Normal
438cf--Normal_34-Normal-SRX8182068-pe,Normal
438cf--Normal_35-Normal-SRX8182090-pe,Normal
438cf--Normal_36-Normal-SRX8182001-pe,Normal
438cf--Normal_37-Normal-SRX8182085-pe,Normal
438cf--Normal_38-Normal-SRX8182093-pe,Normal
438cf--Normal_39-Normal-SRX8181991-pe,Normal
438cf--Normal_4-Normal-SRX8182081-pe,Normal
438cf--Normal_40-Normal-SRX8181977-pe,Normal
438cf--Normal_41-Normal-SRX8182079-pe,Normal
438cf--Normal_42-Normal-SRX8182031-pe,Normal
438cf--Normal_43-Normal-SRX8181988-pe,Normal
438cf--Normal_44-Normal-SRX8182166-pe,Normal
438cf--Normal_45-Normal-SRX8182161-pe,Normal
438cf--Normal_46-Normal-SRX8182184-pe,Normal
438cf--Normal_5-Normal-SRX8182078-pe,Normal
438cf--Normal_6-Normal-SRX8181979-pe,Normal
438cf--Normal_7-Normal-SRX8182061-pe,Normal
438cf--Normal_8-Normal-SRX8181992-pe,Normal
438cf--Normal_9-Normal-SRX8182037-pe,Normal
